,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23
Ticker,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX
MUFG 8.2 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BBWI 6 5/8 10/01/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.6175,105.0878,110.1447,111.8267,112.7185,112.6532,112.9753,115.4592,114.6908,115.8385,115.6795,115.6927,113.6917,112.117,110.9807,113.239,108.1592,107.9966,105.1436,99.7483,98.7482,87.08948,96.43461,91.57721,86.42709,90.15361,94.42496,93.8914,97.80334
NEXA 6 1/2 01/18/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.1626,108.4342,111.3744,109.0821,111.4114,118.5064,118.3643,116.4588,117.444,115.0151,111.7398,109.3389,112.6638,111.3407,111.1109,110.3996,111.277,108.6654,110.0599,108.1434,104.7434,106.7773,100.4839,100.9829,96.20178,98.46628,99.40242,91.91835,92.29564,97.2977,97.75439,99.3249
VST 5 1/2 09/01/26,105.0318,101.4106,103.1909,103.1735,105.3149,102.2975,105.7131,105.2445,104.5164,103.9855,105.2045,104.6386,104.653,104.0476,103.6763,103.4787,103.3214,103.1071,103.1794,102.9396,102.8905,103.0944,103.0076,103.194,101.9382,101.4681,100.4664,99.67138,99.57983,95.59822,100.7034,97.33206,93.29451,96.3117,97.60031,96.85654,97.56588
RAILBZ 5 1/4 01/10/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,103.815,105.6907,104.1562,105.8049,108.0787,108.746,107.4908,106.4293,104.9896,106.3069,107.0092,107.0566,106.8571,106.5699,105.3624,103.8809,101.8923,103.3052,102.8074,101.1173,99.86644,97.91835,97.45496,94.02102,94.98366,95.67954,91.22166,89.52253,93.17419,95.03559,96.48012
SWN 5 3/8 02/01/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,107.5543,106.1522,102.5987,106.0996,101.4205,102.744,101.6781,98.7641,100.7728,93.19566,98.0408,94.58581,90.61841,93.26466,94.67722,91.37189,94.64253
F 3.3 08/20/26,96.75785,97.44109,100.9728,100.9099,101.1307,100.9177,102.7602,102.3017,101.7751,94.07388,94.85973,96.25092,96.81593,96.49194,98.44682,99.01259,99.72507,99.59531,99.581,99.96886,100.1926,99.83878,99.7682,99.30501,99.70432,98.34038,96.09245,94.56525,90.74062,88.78695,89.46867,89.29474,87.72982,86.86668,87.35601,88.66787,90.18855
LADR 4 3/4 06/15/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.72068,99.6524,102.0131,99.75638,100.7792,99.82794,102.6997,98.11175,97.10419,94.99875,90.75186,89.5119,79.11156,84.17745,83.31068,74.46879,80.12257,83.19649,79.93217,83.28204
CONTLE 4 1/2 02/09/27,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.4127,102.0382,101.7641,102.0766,102.707,100.921,103.4138,103.4228,102.7437,101.784,102.4498,99.41653,97.76037,96.60642,92.34938,89.2012,79.03776,83.12709,82.5812,81.18298,80.26049,88.41328,90.21989,91.02915
HLT 3 5/8 02/15/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.71051,99.11411,97.41175,98.88445,97.94603,99.08209,100.1255,99.35286,99.34322,97.88612,96.86629,100.1556,95.25304,94.61034,91.09604,85.36621,87.09786,80.68042,85.97758,80.73826,76.43006,79.90453,82.61378,80.1068,83.69768
NRG 5 3/4 01/15/28,108.0078,104.1051,101.3339,109.1916,109.3419,105.9201,110.1569,109.2888,107.7556,107.8183,109.2932,109.5526,108.8332,106.6809,106.4107,106.5508,105.9805,106.8267,106.5867,107.2219,106.3785,106.3125,105.0447,106.0385,104.3697,102.5581,101.3458,98.35094,100.2192,92.46766,96.70106,94.09851,92.1002,95.4389,96.35924,93.56893,95.5093
OXY 7 11/15/27,124.805,123.7822,58.41628,58.01905,68.03829,76.95511,83.21512,84.9425,75.84401,76.15769,85.56592,97.26882,103.0004,102.0268,103.5216,106.1725,108.73,113.7916,114.7207,115.715,116.4616,114.8629,109.7629,111.4668,108.4306,107.9325,105.4734,105.2433,105.7275,104.0702,105.2398,106.6932,103.097,101.0111,101.1431,102.116,102.1424
F 9.95 02/15/32,136.211,132.6505,88.45428,99.71974,112.3977,118.1538,129.7068,130.4495,128.492,131.3723,137.3721,140.4484,139.9608,140.6903,137.7977,140.8912,139.8242,142.4348,143.9248,143.0556,141.8552,143.1014,141.4726,144.8758,138.0788,134.4208,128.1948,121.777,121.3182,112.8429,121.2303,117.158,109.2685,111.0078,114.5027,112.5088,117.0092
IGT 5 1/4 01/15/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,98.16096,102.1118,103.2758,101.7928,99.52209,106.124,107.9719,106.9226,106.3629,104.0862,105.7882,106.637,107.4235,107.0141,106.6289,107.3063,105.4506,104.0226,106.3384,102.4662,101.6223,100.0753,94.62421,96.62466,91.13316,96.87914,93.62071,88.52154,92.62912,94.49795,93.24178,96.05959
LLOYDS 6.413 PERP,119.547,119.212,103.83,105.75,106.5,109.091,110.828,113.771,115.659,118.135,123.591,123.893,125.05,124.475,125,133.908,134.743,135.887,138.255,139.689,139.982,139.738,144.016,142.365,141.65,131.213,127.688,122.572,114.568,109.636,107.917,107.955,102,97.364,97.133,97.5,99.167
LW 4 1/8 01/31/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.66356,102.3383,98.83446,96.16318,93.34129,89.95834,91.73251,88.48438,93.15224,90.45566,84.59026,87.33423,89.40047,88.4425,90.91187
SEE 6 7/8 07/15/33,122.2726,120.2229,99.70902,108.7271,116.7241,118.2445,121.6816,126.0635,127.3971,127.3707,132.811,132.3878,132.4891,130.2063,122.7034,123.9576,126.3216,127.917,128.6728,130.2429,129.251,129.5183,126.5217,126.4069,122.5876,113.9554,115.5098,109.1093,105.3387,102.6723,106.359,102.6974,95.12256,96.55611,98.94191,99.88763,104.2034
ALSN 5 7/8 06/01/29,109.5997,108.2117,95.36742,97.7265,102.7893,104.633,110.6088,110.0482,107.9895,109.4595,111.6644,111.174,110.3475,109.1344,109.0569,108.5037,108.7515,109.4211,109.889,110.1171,108.9927,108.298,107.3736,108.85,105.8798,104.5044,101.9086,98.27448,99.18252,94.59677,98.27398,94.62422,89.41943,93.58114,95.99241,93.66261,96.59451
PPC 3 1/2 03/01/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.1882,101.894,100.7771,100.9902,101.5128,95.42101,92.23756,87.52,84.87164,87.71049,78.54259,84.52436,81.35813,75.53993,76.99897,81.51981,78.26861,81.48896
KLAB 5 3/4 04/03/29,109.0275,107.3504,90.73073,98.89306,101.6144,105.618,108.8615,110.9785,112.409,111.4328,115.1516,116.8487,115.3946,115.9657,111.9578,111.4888,112.917,114.3873,114.4543,113.9263,112.4927,108.7793,106.6139,109.2991,107.8755,104.7595,104.9791,99.08564,99.81887,94.93566,100.3719,98.05505,91.48873,93.04728,97.21062,98.78788,100.2155
CSNABZ 4 5/8 06/10/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.4829,103.1712,103.4486,98.85557,97.59985,90.47427,95.50662,95.08942,91.28352,91.31674,84.63139,83.21439,71.84588,75.52937,77.39741,68.48008,67.06423,77.56935,79.43208,84.62505
F 3.4 06/20/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AR 7 5/8 02/01/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.2956,107.2776,106.2932,108.5178,110.1193,111.308,109.9985,110.6205,111.6661,110.9033,109.8882,111.275,109.0325,108.9548,108.2101,105.9983,107.8145,102.1189,105.5091,102.5215,99.95594,102.1781,102.674,100.8608,102.6736
SOCGEN 6 3/4 PERP,112.469,109.625,84.268,94.746,98.57,99.734,101.46,103.91,104.927,105.766,110.959,111.932,110.688,110.53,110.911,111.861,111.671,113.423,113.938,113.978,113.045,111.818,109.594,109.998,106.665,101.405,101.018,95.539,96.006,89.112,94.083,90.548,79.567,81.632,87.162,90.276,93.508
MSCI 3 5/8 11/01/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.4041,102.0825,105.4023,106.6316,104.5516,103.0261,102.0696,103.9599,99.10036,97.75202,94.09242,87.70663,90.76453,83.58155,89.02767,83.99966,80.14925,82.29601,84.51797,82.45854,85.74664
CSNABZ 6 3/4 01/28/28,99.49055,90.49309,65.0262,65.49393,77.29082,85.0289,93.31255,95.90906,96.81226,98.64452,104.8164,109.0502,107.9645,108.5587,105.9223,108.7348,109.9167,110.3774,110.371,110.0611,107.0729,106.5213,100.9074,105.2819,105.004,103.711,103.9366,99.60942,98.0446,88.09153,93.0703,94.81984,86.79188,85.47695,95.33203,95.85591,100.128
SUN 4 1/2 04/30/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.9535,99.01019,102.6161,98.8418,95.83633,92.28,90.31808,91.09828,81.53731,87.86115,85.59689,82.2734,85.39042,86.922,86.94817,89.25719
URI 4 7/8 01/15/28,104.7828,104.5737,95.58895,98.93001,102.2104,102.7778,106.1382,105.9888,105.2697,103.4827,106.5229,106.9868,105.939,106.7003,105.1796,105.8283,105.5236,105.8819,105.3206,105.2352,106.0601,105.2095,104.5161,104.4498,103.1013,101.2161,100.1229,98.93559,99.74808,96.3839,99.3107,94.85319,91.66906,90.01104,94.49206,95.1672,97.93768
BRASKM 7 1/8 07/22/41,120.0041,116.5524,89.61825,90.77451,99.42636,102.5911,104.5308,106.9006,105.9002,106.9609,115.3491,116.1536,114.0184,114.1298,113.3635,117.8621,121.9771,124.5579,127.5366,131.9857,130.0038,122.9405,120.1737,129.3099,121.2128,113.1519,110.7635,100.3735,104.1148,94.53374,99.57948,96.72967,87.56938,88.17,93.63483,94.74458,102.4316
FISOMA 4 3/8 07/22/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,97.94463,97.93652,97.3473,96.24159,95.9402,96.06583,94.06033,90.18167,83.38618,80.60619,74.19138,71.93874,69.7769,73.96081,70.35101,62.19057,69.86531,73.37733,76.87389
LLOYDS 6.657 PERP,122.618,124.03,108.616,110.333,110.932,113,114.55,116.727,118.742,121.396,126.65,127.319,128.227,127.886,128.807,136.762,137.317,139.15,141.341,142.864,143.835,143.325,148.054,146.479,142.531,133.657,130.564,126.167,119.102,114.5,113.083,112.665,104.833,100.25,98.375,97.773,99.583
M 7 7/8 03/01/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,81.12435,87.59859,88.8555,82.43126,99.44382,104.7866,109.5889,111.7287,114.2346,110.0813,117.3491,117.9403,117.8523,120.2221,117.8877,115.333,119.4694,112.7218,115.1705,100,109.495,105.9939,107.654,104.9337,105.3884,100.4906,100.4818,100.489,103.3673,100.492,102.6532
PRUPAR 7 1/2 12/31/31,109.19,107.5658,86.11929,86.27356,96.51156,101.0505,103.1185,105.8405,106.1104,106.2952,109.6657,112.6081,113.1587,113.0773,111.4927,112.1787,112.232,112.3162,112.3896,112.0045,111.6962,109.3258,108.2349,107.2469,105.7089,102.1949,100.2431,98.74529,97.61148,92.10831,90.27338,93.5736,89.30979,89.03344,93.27271,94.20187,97.11499
CSNABZ 7 5/8 04/17/26,105.5559,99.98718,66.49502,71.11973,81.72961,88.62636,99.32887,99.96142,100.9814,102.9215,107.7439,107.926,107.4984,108.6225,106.5925,107.6363,107.9294,107.8794,106.7918,106.6612,105.8443,105.6957,103.5562,105.1115,104.6598,104.318,104.058,103.5026,103.0804,101.9354,99.93503,100.7155,96.57761,95.77945,99.75573,99.9166,101.6383
VICI 3 1/2 02/15/25,102.1887,100.17,90.57153,94.48045,96.54546,94.32658,101.6011,100.4083,99.19852,100.1018,102.4119,102.0998,101.8925,101.9339,101.3711,102.3823,102.0797,102.6146,102.3396,102.669,102.5763,101.9314,102.1695,101.9264,99.96979,99.89297,98.47253,95.97665,95.74538,93.85148,94.61638,94.5583,92.60077,93.10809,95.00261,94.69454,95.15977
BBWI 6 7/8 11/01/35,100.3739,102.5,75.7113,74.30106,82.94202,83.66841,95.92622,102.5297,98.77749,101.8389,109.0053,112.6475,116.1132,121.4843,118.9019,121.3734,120.6465,126.8313,128.7464,128.576,125.6323,121.672,120.3922,124.7843,115.1164,110.6722,103.1214,97.94143,91.65173,81.35289,92.01696,87.49326,83.66668,85.11277,90.63725,89.07134,92.29314
SHFLIN 4.4 03/13/24,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.68006,100.9792,100.2723,99.27948,99.12048,100.5438,99.42824,101.2171,100.1972,100.6316,100.3883,101.6006,99.20618,98.52777,98.09299,95.55492,95.41143,93.19202,95.307,96.05666,93.84591,92.95213,96.42165,96.66112,96.85415
UCGIM 5.861 06/19/32,106.9603,105.6596,97.88435,97.96254,100.5749,104.5143,106.885,106.4287,105.8435,106.0662,110.6536,112.5793,111.6106,111.3773,110.9101,111.0899,111.6912,110.7415,111.5673,111.5287,110.9406,110.4103,109.1821,109.461,106.3648,102.5906,98.38946,95.28957,95.63194,90.32281,89.03527,87.00742,83.50182,82.26443,86.43347,88.35773,92.07033
CQP 3 1/4 01/31/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.4529,99.2836,97.23734,101.2421,94.14982,94.09664,91.18544,85.55838,87.4581,78.99468,87.32365,80.13299,76.95718,77.97006,81.4652,80.02962,83.56722
PRAA 5 10/01/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,98.97323,98.88916,100.581,99.27712,98.22244,95.14875,92.20924,90.14807,83.168,87.20621,86.82423,81.18512,79.33734,83.13657,82.05894,86.65145
CHK 6 3/4 04/15/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.1405,101.1391,105.5061,104.9095,107.9107,108.069,107.7874,106.6404,108.4501,106.911,105.7686,105.8122,101.1468,105.6717,98.083,102.7468,98.61319,95.96062,98.67067,99.69069,96.8074,99.03844
TUPY 4 1/2 02/16/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.65009,97.4185,99.64786,99.4393,99.76972,100.6983,101.0493,98.09685,94.68102,90.71605,96.35374,93.03464,90.49987,88.39094,83.89473,82.63005,77.58273,76.33207,82.42059,74.10058,76.20275,80.24316,83.53633,83.98693
TNET 7 1/8 08/15/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ISPIM 4.198 06/01/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
VICI 4 1/2 01/15/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,91.92486,88.8462,87.88795,91.89862,91.19082,93.68174
M 6 1/8 03/15/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,98.98991,92.26753,90.46967,83.69885,84.8813,84.61173,76.66805,83.74239,88.70132,84.68449,89.5502
VENTGL 4 1/8 08/15/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.7126,104.8237,104.0099,103.2393,106.7354,101.2198,99.3082,98.14837,90.95941,93.06474,86.41303,91.73133,86.67805,82.26943,85.23777,87.21727,85.35176,89.06434
RKTRM 2 7/8 10/15/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.274,98.92949,98.72362,100.1699,95.79236,94.00697,91.82396,89.12244,89.89754,83.17517,89.78745,84.68784,82.13042,83.50672,85.93503,86.09795,89.53114
LLAKES 7 1/4 PERP,95.74765,95.468,89,94.43562,91.01155,89.24445,92.1924,94.95597,93.09693,93.60986,94.48317,97.68678,102.4325,103.6657,103.7336,104.3604,104.4363,106.262,107.6386,108.0089,108.1107,108.2554,108.0713,108.3832,107.6304,105.533,105.7173,104.2901,99.74433,94.29718,98.09332,96.45856,95.85958,93.40783,93.1876,85.55605,88.70936
NRG 3 5/8 02/15/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,103.2736,103.3086,103.4491,98.13021,97.29436,98.27492,96.53357,97.82919,99.71825,101.8941,98.7923,97.36454,95.58772,97.91884,93.19083,92.15166,88.5546,83.36945,87.82128,79.31129,84.05877,79.905,77.83982,79.77354,81.47234,78.00235,79.56408
CPN 4 1/2 02/15/28,99.61127,96.51627,95.57377,96.81679,100.8258,98.23373,104.4049,103.822,102.2268,101.8499,103.6891,104.546,103.1333,103.1597,100.495,101.4249,101.3749,102.0141,103.2972,103.1193,102.262,101.4167,99.65353,103.6789,97.69173,97.85831,97.7768,93.08208,95.48015,91.33847,96.29236,91.43195,87.61356,90.07209,91.63238,89.47913,92.46946
OHNAT 6 5/8 05/01/31,108.807,110.9938,114.4431,94.86279,94.93916,95.76035,96.95592,98.14082,99.38532,100.9728,102.658,102.0661,102.0661,108.0212,107.596,113.834,115.0606,117.764,121.0521,121.0521,118.9736,118.1402,118.6912,118.4884,116.2095,114.1304,108.2376,103.2445,103.2733,102.2862,102.2862,100.7331,94.57763,93.75706,97.58356,94.69762,99.4119
AES 5 1/2 05/14/27,104.959,103.6086,91.31547,96.65791,101.0528,102.7224,103.0192,103.9107,102.8027,101.4543,102.6577,105.6435,106.4425,105.9462,104.4871,104.0611,103.1714,103.8397,99.25268,100.847,102.6501,102.3205,101.1176,100.414,99.47652,98.73398,96.26693,94.06081,92.81573,84.46631,86.74778,93.36591,91.74644,86.81014,88.45494,92.34377,94.39166
INVBNK 8.08 07/12/32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KMI 8.56 04/15/27,100.5441,100.2197,100.0453,100.2043,100.7331,100.7062,100.7514,100.7866,100.6947,100.195,101.872,100.1394,100.0745,99.59795,100.3285,100.3849,100.468,100.5675,100.6612,100.5822,100.5952,100.7866,100.7231,100.766,100.5114,100.6931,100.738,100.2101,100.4009,100.5422,100.6165,100.4658,100.4129,100.4023,100.432,100.1481,100.452
IQV 6 1/2 05/15/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BBWI 6.694 01/15/27,104.22,104.4386,74.68494,69.6394,80.46471,86.08858,96.9589,101.3392,100.2148,100.9974,106.963,110.5907,112.4944,112.6435,112.9788,116.1954,115.3613,117.5468,118.5824,117.7803,115.9812,114.2921,114.4337,114.8926,113.0217,110.895,105.6564,103.7807,99.0479,93.57466,98.42901,96.74362,93.2206,94.29811,98.85886,99.34496,100.8479
BEEFBZ 5 7/8 01/19/28,105.6644,101.8441,89.20131,91.68856,97.4028,97.80531,104.7709,106.6506,104.0307,104.5475,107.5028,108.2728,106.5765,107.918,105.7578,106.4368,106.5169,106.4533,106.1426,106.0366,107.1024,106.8677,106.8223,107.0593,106.6029,106.0292,104.3851,102.8769,101.6077,99.05992,98.98034,97.80685,93.71919,92.85367,95.63419,95.23084,95.30534
RUTAPY 0 09/30/36,67.10545,70.90837,61.56121,60.39052,60.64264,60.64264,60.64264,70.15688,70.97024,70.97024,70.97024,70.97024,70.97024,70.97024,71.21399,71.18157,71.72989,72.04045,73.07426,73.15343,73.73942,73.85933,74.36553,73.43145,72.88956,72.88956,72.73074,67.3908,67.41142,59.7107,59.3092,63.55502,61.88681,61.88681,61.61819,62.60866,63.8241
